id x y phenotype1 envi phenotype2 
354 0.947644 0.736058 -0.0318185 -0.50748 -0.0318185
355 0.54157 0.0240718 -0.91966 0.725828 -0.91966
356 0.730667 0.898674 0.225261 0.096415 0.225261
357 0.963212 0.840841 1.17871 -0.359934 1.17871
358 0.1056 0.180166 0.00708901 -0.0780817 0.00708901
359 0.126068 0.0119742 0.987565 -0.713519 0.987565
360 0.566937 0.808791 1.05544 0.950136 1.05544
361 0.553556 0.833975 -1.05284 0.970807 -1.05284
362 0.762627 0.773557 -0.254297 0.155553 -0.254297
363 0.250629 0.595157 -0.480615 -0.582265 -0.480615
364 0.734093 0.888547 -0.404304 0.0963005 -0.404304
365 0.96982 0.688728 1.38381 -0.763733 1.38381
366 0.998249 0.139476 -0.493826 -0.465695 -0.493826
367 0.455919 0.541844 0.462417 0.667794 0.462417
368 0.98454 0.983861 1.07887 -0.115546 1.07887
369 0.104302 0.179675 0.181308 -0.0847341 0.181308
370 0.755171 0.886705 1.16173 0.0217239 1.16173
371 0.686416 0.559722 0.976993 0.358914 0.976993
372 0.912234 0.29526 -0.643886 -0.0943901 -0.643886
373 0.604604 0.297853 1.38352 0.697933 1.38352
374 0.035824 0.976675 0.165981 -0.359755 0.165981
375 0.372057 0.906237 1.50684 0.679851 1.50684
376 0.359527 0.886014 0.422954 0.546748 0.422954
377 0.245653 0.585935 -1.13209 -0.545879 -1.13209
378 0.606234 0.315284 1.04209 0.676386 1.04209
379 0.287553 0.36599 0.701188 0.323336 0.701188
380 0.3538 0.881603 -0.59237 0.501856 -0.59237
381 0.300799 0.359273 -0.0691523 0.386956 -0.0691523
382 0.118191 0.00753017 -0.390083 -0.781407 -0.390083
383 0.633555 0.577596 0.0607364 0.542118 0.0607364
384 0.442573 0.328739 0.227192 0.919296 0.227192
385 0.755338 0.767822 -0.210461 0.186423 -0.210461
386 0.166295 0.943429 0.770056 0.246827 0.770056
387 0.921369 0.271019 1.37699 0.0152426 1.37699
388 0.948134 0.692937 0.970748 -0.653715 0.970748
389 0.126929 0.021579 0.744238 -0.668065 0.744238
390 0.969721 0.46296 -0.514447 -1.22078 -0.514447
391 0.340427 0.900446 -0.0177852 0.545831 -0.0177852
392 0.0157966 0.307797 0.94207 -0.0377965 0.94207
393 0.854885 0.539111 1.54219 -0.545048 1.54219
394 0.885952 0.0412186 0.518658 -0.671985 0.518658
395 0.169027 0.259713 0.990233 0.356678 0.990233
396 0.980337 0.69656 -0.824948 -0.780196 -0.824948
397 0.883494 0.0449534 -0.41809 -0.650803 -0.41809
398 0.72687 0.871384 -1.14314 0.153254 -1.14314
399 0.25402 0.590869 -0.829819 -0.544803 -0.829819
400 0.959572 0.472108 -0.755093 -1.21395 -0.755093
401 0.907316 0.0369828 -0.861275 -0.754068 -0.861275
402 0.454263 0.534185 0.796284 0.651356 0.796284
403 0.117018 0.00596945 -0.253236 -0.795523 -0.253236
404 0.666913 0.542029 0.339228 0.402164 0.339228
405 0.973769 0.465745 -0.618993 -1.26376 -0.618993
406 0.962432 0.690077 1.68139 -0.726244 1.68139
407 0.248517 0.593422 -0.254825 -0.577659 -0.254825
408 0.104467 0.703699 1.81762 -0.520448 1.81762
409 0.979652 0.14901 0.995251 -0.389257 0.995251
410 0.758415 0.78693 -0.411882 0.150852 -0.411882
411 0.96715 0.476609 -0.749422 -1.291 -0.749422
412 0.737402 0.87915 -0.612417 0.0956109 -0.612417
413 0.347723 0.891644 1.15052 0.526636 1.15052
414 0.353426 0.010571 -0.118735 0.405003 -0.118735
415 0.858548 0.539025 0.167203 -0.569728 0.167203
416 0.345327 0.890052 0.835413 0.509075 0.835413
417 0.0130366 0.313081 1.25302 -0.0493789 1.25302
418 0.844744 0.547576 -1.09451 -0.462114 -1.09451
419 0.395482 0.472328 0.123648 0.438044 0.123648
420 0.963533 0.468639 -1.02438 -1.21792 -1.02438
421 0.14185 0.448424 -0.317976 -0.134181 -0.317976
422 0.032212 0.684669 -0.09404 -0.282875 -0.09404
423 0.954398 0.851334 0.432041 -0.324496 0.432041
424 0.773259 0.455317 0.971139 -0.0114179 0.971139
425 0.998241 0.154553 0.700701 -0.381724 0.700701
426 0.0236166 0.664872 1.47039 -0.260103 1.47039
427 0.963547 0.459252 -1.28497 -1.1599 -1.28497
428 0.980466 0.881247 -0.500294 -0.317382 -0.500294
429 0.733947 0.208377 -0.299794 0.0627796 -0.299794
430 0.58977 0.335761 0.187222 0.725731 0.187222
431 0.987886 0.429365 -1.02107 -1.09922 -1.02107
432 0.460464 0.535023 0.965528 0.682899 0.965528
433 0.24624 0.60118 -0.967065 -0.603479 -0.967065
434 0.245148 0.587206 -0.128284 -0.549968 -0.128284
435 0.743353 0.925231 1.65578 0.00182059 1.65578
436 0.125183 0.0050516 1.16991 -0.748107 1.16991
437 0.420826 0.200591 1.49995 0.942901 1.49995
438 0.960191 0.468195 -0.67768 -1.19411 -0.67768
439 0.759298 0.777444 0.095038 0.160852 0.095038
440 0.572299 0.817214 0.196903 0.91375 0.196903
441 0.496887 0.96605 -0.808018 1.00168 -0.808018
